area,screen,group,control,type,what_it_does,side_effects_or_notes,visibility
Content,Taxonomy,Taxonomy,Label,text,Set term label,Required,
Content,Taxonomy,Taxonomy,Slug,text,Set term slug,,
Content,Taxonomy,Taxonomy,Taxonomy,select,Tag/Series/Theme/Project,,
Content,Taxonomy,Taxonomy,Description,textarea,Set description,,
Content,Taxonomy,Taxonomy,Add term,button,Create term,,
Content,Taxonomy,Taxonomy,Update term,button,Save term,,
Content,Taxonomy,Taxonomy,Clear,button,Reset form,,
Content,Taxonomy,Taxonomy,Type filter,select,Filter list,,
Content,Taxonomy,Taxonomy,Search,search,Filter terms,,
Content,Taxonomy,Taxonomy,Refresh,button,Reload terms,,
Content,Taxonomy,Taxonomy,Edit,button,Load term,,
Content,Taxonomy,Taxonomy,Delete,button,Delete term,Content may still reference it,
Publishing,Publications,Publication builder,Create Publication,button,Start publication,,
Publishing,Publications,Publication builder,Issue list item,button,Load publication,,
Publishing,Publications,Publication builder,Title,text,Set title,,
Publishing,Publications,Publication builder,Slug,text,Set slug,,
Publishing,Publications,Publication builder,Type,select,Set publication type,,
Publishing,Publications,Publication builder,Visibility,select,Set draft/public/archived,Maps to status,
Publishing,Publications,Publication builder,Issue number,text,Set issue number,,
Publishing,Publications,Publication builder,Edition,text,Set edition,,
Publishing,Publications,Publication builder,Description,textarea,Set description,,
Publishing,Publications,Publication builder,Cover image,text,Set cover,,
Publishing,Publications,Publication builder,Choose Cover,button,Open Media Library,,
Publishing,Publications,Publication builder,Front matter,textarea,Set front matter,,
Publishing,Publications,Publication builder,Credits,textarea,Set credits,,
Publishing,Publications,Publication builder,Colophon,textarea,Set colophon text,,
Publishing,Publications,Publication builder,Back cover,textarea,Set back cover,,
Publishing,Publications,Publication builder,Search pieces,search,Filter archive,,
Publishing,Publications,Publication builder,Piece checkbox,checkbox,Select piece,,
Publishing,Publications,Publication builder,Order Up,button,Move piece earlier,,
Publishing,Publications,Publication builder,Order Down,button,Move piece later,,
Publishing,Publications,Publication builder,Add Download,button,Add downloadable edition,,
Publishing,Publications,Publication builder,Remove download,button,Remove edition row,,
Publishing,Publications,Publication builder,PrintLab project URL,text,Link PrintLab,,
Publishing,Publications,Publication builder,Save,button,Persist publication,,
Publishing,Publications,Publication builder,Generate Publication,button,Build publication/version,Creates version history,
Publishing,Publications,Publication builder,Open in PrintLab,link,Open layout,,
Publishing,Publications,Publication builder,Download Page,link,Open publication landing,,
Publishing,Publications,Publication builder,Reader Edition,link,Open reader,,
Publishing,Podcasts,Podcast,Podcast Settings / Import RSS,link,Open show settings,,
Publishing,Podcasts,Podcast,Open Default RSS Feed,link,Open compatibility/default feed,Compatibility,
Publishing,Podcasts,Podcast,Add Podcast,button,Create show,,
Publishing,Podcasts,Podcast,Manage / Import,link,Manage show,,
Publishing,Podcasts,Podcast,Homepage title for this show,select,Bulk title treatment,Updates episodes,
Publishing,Podcasts,Podcast,Episode homepage title,select,Override title treatment,,
Publishing,Podcasts,Podcast,Open RSS,link,Open show RSS,,
Publishing,Podcasts,Podcast,Full edit,link,Open episode editor,,
Publishing,Podcasts,Podcast,Current/source RSS feed URL,url,Set upstream feed,Show-scoped,
Publishing,Podcasts,Podcast,Preview source feed,button,Fetch/parse feed,,
Publishing,Podcasts,Podcast,Refresh saved source,button,Preview stored feed,,
Publishing,Podcasts,Podcast,Select new,button,Select new episodes,,
Publishing,Podcasts,Podcast,Select first 250,button,Select batch,250 cap,
Publishing,Podcasts,Podcast,Clear,button,Clear selection,,
Publishing,Podcasts,Podcast,Import channel settings,checkbox,Import/update show identity,Can change metadata,
Publishing,Podcasts,Podcast,Import selected,button,Import episodes,,
Publishing,Podcasts,Podcast,Resync selected,button,Update episodes from source,,
Publishing,Podcasts,Podcast,Canonical Colophon RSS,readonly,Show outgoing feed,Directory feed,
Publishing,Podcasts,Podcast,Canonical public base URL,url,Override public origin,Affects URLs,
Publishing,Podcasts,Podcast,Podcast title,text,Set show title,Required for new show,
Publishing,Podcasts,Podcast,Author,text,Set author,,
Publishing,Podcasts,Podcast,Description,textarea,Set description,,
Publishing,Podcasts,Podcast,Website URL,url,Set website,,
Publishing,Podcasts,Podcast,Default cover art,url,Set artwork,,
Publishing,Podcasts,Podcast,Language,text,Set language,,
Publishing,Podcasts,Podcast,Category,text,Set directory category,,
Publishing,Podcasts,Podcast,Owner name,text,Set owner,,
Publishing,Podcasts,Podcast,Owner email,email,Set verification email,May be used/exposed by directories,
Publishing,Podcasts,Podcast,Audio host URL/base,url,Set audio base,,
Publishing,Podcasts,Podcast,Explicit show,checkbox,Mark explicit,,
Publishing,Podcasts,Podcast,Save Podcast Settings,button,Persist show,,
Publishing,Podcasts,Podcast,Create Podcast,button,Create show,,
Publishing,Feeds & Syndication,Feeds,Open Public Feeds,link,Open /feeds,,
Publishing,Feeds & Syndication,Feeds,Reset,button,Reset feed settings,Writes defaults/refreshes manifest,
Publishing,Feeds & Syndication,Feeds,Save Feed Settings,button,Persist settings,Refreshes manifest,
Publishing,Feeds & Syndication,Feeds,Refresh live manifest,button,Reload manifest,,
Publishing,Feeds & Syndication,Feeds,Open main RSS,link,Open all-content feed,,
Publishing,Feeds & Syndication,Feeds,Open legacy/default podcast alias,link,Open compatibility alias,Prefer show feed,
Publishing,Feeds & Syndication,Feeds,Open Podcasts,link,Open podcast manager,,
Publishing,Feeds & Syndication,Feeds,Add Podcast,link,Create podcast,,
Publishing,Feeds & Syndication,Feeds,Page title,text,Set /feeds title,,
Publishing,Feeds & Syndication,Feeds,Intro copy,textarea,Set /feeds intro,,
Publishing,Feeds & Syndication,Feeds,Everything,checkbox,Expose main feed,,
Publishing,Feeds & Syndication,Feeds,Formats,checkbox,Expose format feeds,,
Publishing,Feeds & Syndication,Feeds,Projects,checkbox,Expose project feeds,,
Publishing,Feeds & Syndication,Feeds,Collections,checkbox,Expose collection feeds,,
Publishing,Feeds & Syndication,Feeds,Public byline labels,checkbox,Expose byline feeds,Public identity,
Publishing,Feeds & Syndication,Feeds,Topics,checkbox,Expose topic feeds,,
Publishing,Feeds & Syndication,Feeds,Series,checkbox,Expose series feeds,,
Publishing,Feeds & Syndication,Feeds,Aliases,textarea,Map old=>new labels,Feed naming,
Publishing,Feeds & Syndication,Feeds,Hidden terms,textarea,Suppress public feed terms,Does not rewrite source records,
Publishing,Feeds & Syndication,Feeds,Download feed manifest (JSON),button,Export diagnostics manifest,Not RSS itself,
Publishing,Feeds & Syndication,Feeds,Show live endpoint paths,details,Inspect endpoints,,
Publishing,Translations,Translations,Manage translations for,select,Choose source content,,
Publishing,Translations,Translations,Open Article,link,Open source,,
Publishing,Translations,Translations,Open Weblate,link,Open translation workspace,External service,
Publishing,Translations,Translations,Download current English source,button,Export source JSON,,
Publishing,Translations,Translations,Language code,text,Set language code,,
Publishing,Translations,Translations,Language label,text,Set label,,
Publishing,Translations,Translations,Translator credit,text,Set credit,,
Publishing,Translations,Translations,Reviewer credit,text,Set reviewer,,
Publishing,Translations,Translations,Weblate component URL,url,Set component,,
Publishing,Translations,Translations,Import translated JSON,file,Import to review,Does not publish,
Publishing,Translations,Translations,External language code,text,Set external code,,
Publishing,Translations,Translations,External language label,text,Set external label,,
Publishing,Translations,Translations,Translation URL,url,Set original host,,
Publishing,Translations,Translations,Credit,text,Set external credit,,
Publishing,Translations,Translations,Register external translation,button,Create external record,Preserves original hosting,
Publishing,Translations,Translations,Refresh,button,Reload records,,
Publishing,Translations,Translations,Publish,button,Set published,Makes native translation public,
Publishing,Translations,Translations,draft,button,Move to draft,,
Publishing,Translations,Translations,in review,button,Move to review,,
Publishing,Translations,Translations,approved,button,Move to approved,,
Publishing,Translations,Translations,archived,button,Move to archived,,
Publishing,Translations,Translations,Delete,button,Delete record,,
Site,Settings/Public configuration,Public site,Publication name,text,Set public identity,Masthead/footer/metadata/feeds,
Site,Settings/Public configuration,Public site,Short name,text,Set short identity,,
Site,Settings/Public configuration,Public site,Site URL,url,Set site URL,,
Site,Settings/Public configuration,Public site,Logo URL,url,Set logo,,
Site,Settings/Public configuration,Public site,Editor / correspondence label,text,Set correspondence label,Public,
Site,Settings/Public configuration,Public site,Default social identity,text,Set social identity,Public,
Site,Settings/Public configuration,Public site,Contact email,email,Set contact email,Public,
Site,Settings/Public configuration,Public site,Footer identity,text,Set footer identity,Public,
Site,Settings/Public configuration,Public site,Footer text,textarea,Set footer copy,Public,
Site,Settings/Public configuration,Public site,Navigation Show,checkbox,Show/hide item,,
Site,Settings/Public configuration,Public site,Navigation Label,text,Rename item,,
Site,Settings/Public configuration,Public site,Navigation Destination,text,Set destination,,
Site,Settings/Public configuration,Public site,Navigation Up,button,Move earlier,,
Site,Settings/Public configuration,Public site,Navigation Down,button,Move later,,
Site,Settings/Public configuration,Public site,Navigation Remove,button,Remove item,,
Site,Settings/Public configuration,Public site,Add navigation link,button,Create custom link,,
Site,Settings/Public configuration,Public site,Display font,select,Set display font,,
Site,Settings/Public configuration,Public site,Heading font,select,Set heading font,,
Site,Settings/Public configuration,Public site,Body font,select,Set body font,,
Site,Settings/Public configuration,Public site,Navigation font,select,Set navigation font,,
Site,Settings/Public configuration,Public site,Font display name,text,Name custom font,,
Site,Settings/Public configuration,Public site,Font family name,text,Set CSS family,,
Site,Settings/Public configuration,Public site,Font style,select,Normal/Italic,,
Site,Settings/Public configuration,Public site,Font weight,select,Set weight,,
Site,Settings/Public configuration,Public site,Font file,file,Choose WOFF/WOFF2,,
Site,Settings/Public configuration,Public site,Add font to draft,button,Upload font into draft,Not live until publish,
Site,Settings/Public configuration,Public site,Remove custom font,button,Remove font/reset dependent roles,,
Site,Domain setup,Domains,Site name,text,Name domain record,,
Site,Domain setup,Domains,Hostname,text,Set hostname,Not full URL,
Site,Domain setup,Domains,Status,select,Set domain status,,
Site,Domain setup,Domains,Notes,textarea,Store operational notes,,
Site,Domain setup,Domains,Show DNS instructions,button,Fetch DNS target,,
Site,Domain setup,Domains,Save hostname,button,Persist domain,,
Site,Domain setup,Domains,Copy value,button,Copy DNS target,,
Site,Domain setup,Domains,Saved domain status,select,Update status,,
Site,Domain setup,Domains,Saved domain notes,textarea,Update notes,,
Site,Domain setup,Domains,Save,button,Persist saved domain,,
Site,Domain setup,Domains,DNS,button,Show DNS for row,,
Site,Domain setup,Domains,Delete,button,Delete Colophon domain record,Does not remove provider DNS,
System,Users & Access,Users,Email,email,Set new-user email,,
System,Users & Access,Users,Display name,text,Set display name,,
System,Users & Access,Users,Initial password,password,Set initial password,Minimum 12 chars,
System,Users & Access,Users,Role,select,Assign role,Authority-limited,
System,Users & Access,Users,Create account,button,Create account,No fake invitation email,
System,Users & Access,Users,Account display name,text,Edit display name,,
System,Users & Access,Users,Account email,email,Edit email,,
System,Users & Access,Users,Account role,select,Edit role,Owner protections,
System,Users & Access,Users,Account status,select,Active/disabled,,
System,Users & Access,Users,New password,password,Replace password if non-empty,,
System,Users & Access,Users,Save,button,Persist user changes,,
System,Users & Access,Users,Delete,button,Delete account,Does not delete authored content,
Site,Analytics,Reporting period,7 days,button,Change/reload report,,server + analytics:view
Site,Analytics,Reporting period,30 days,button,Change/reload report,,server + analytics:view
Site,Analytics,Reporting period,90 days,button,Change/reload report,,server + analytics:view
Site,Analytics,Reporting period,Refresh,button,Change/reload report,,server + analytics:view
Site,Analytics,Report,Views Today,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Sessions Today,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Views · period,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Sessions · period,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Views / Session,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Active · 30 min,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Traffic over time,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Top Content,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,External Referrers,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Campaign Entries,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Traffic Sources,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Devices,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Browsers,display,View metric/breakdown,,server + analytics:view
Site,Analytics,Report,Countries,display,View metric/breakdown,,server + analytics:view
System,Site Health,Diagnostics,Back to newsroom,link,Open dashboard,,
System,Site Health,Diagnostics,Database status,display,View DB readiness,,
System,Site Health,Diagnostics,Schema status,display,View missing tables,,
System,Site Health,Diagnostics,Media storage status,display,View storage binding,,
System,Site Health,Diagnostics,Production bindings,display,Inspect bindings/secrets presence,,
System,Site Health,Diagnostics,D1 schema and counts,table,Inspect tables/counts,,
System,Site Health,Diagnostics,Editorial content checks,display,Inspect content/media QA,,
System,Site Health,Diagnostics,Link Reference Review,table,Review stored URL classification,Does not fetch external URLs,
System,Site Health,Diagnostics,Missing Featured Images,list,Review missing images,,
System,Site Health,Diagnostics,Missing Alt Text,list,Review missing alt,,
System,Site Health,Diagnostics,Orphaned Media,list,Review possible orphaned media,Not automatic deletion list,
System,Backups,Backup,Automatic backups,select,Enable/disable automatic backups,,Desktop
System,Backups,Backup,Frequency,select,Daily/weekly,,Desktop
System,Backups,Backup,Backups to keep,select,3/7/14/30 retention,,Desktop
System,Backups,Backup,Back up now,button,Create local backup,,Desktop
System,Backups,Backup,Open backup folder,button,Open backup directory,,Desktop
System,Backups,Backup,Backup help,link,Open help,,
System,Backups,Backup,Export server snapshot,button,Build verified snapshot,Refuses incomplete manifest,server
Publishing,Campaigns,Campaign,Add New Campaign,button,Create campaign,,
Publishing,Campaigns,Campaign,Duplicate,button,Clone as draft,,
Publishing,Campaigns,Campaign,Archive,button,Archive campaign,Removes from normal directory,
Publishing,Campaigns,Campaign,Delete,button,Permanently delete campaign/revisions,Destructive,
Publishing,Campaigns,Campaign,View Campaign,link,Open published hub,,
Publishing,Campaigns,Campaign,Save + Preview,button,Save then preview,Requires popup,
Publishing,Campaigns,Campaign,Save/Create Campaign,button,Persist campaign,,
Publishing,Campaigns,Campaign,Title,text,Set title,,
Publishing,Campaigns,Campaign,Slug,text,Set URL slug,Manual edit locks autogen,
Publishing,Campaigns,Campaign,Deadline,datetime,Set deadline,Validated with timezone,
Publishing,Campaigns,Campaign,Deadline timezone,select,Set timezone,Can alter interpreted instant,
Publishing,Campaigns,Campaign,Section visibility,checkbox,Show/hide section,Public effect,
Publishing,Campaigns,Campaign,Section Up,button,Move section earlier,,
Publishing,Campaigns,Campaign,Section Down,button,Move section later,,
Publishing,Campaigns,Campaign,Row Add,button,Add structured row,,
Publishing,Campaigns,Campaign,Row Remove,button,Delete structured row,,
Publishing,Campaigns,Campaign,Row Up,button,Reorder row,,
Publishing,Campaigns,Campaign,Row Down,button,Reorder row,,
Publishing,Campaigns,Campaign,Moderation,select,automatic/featured/hidden,Affects item visibility/treatment,
Publishing,Campaigns,Campaign,Restore revision,button,Restore campaign revision,Can replace current changes,
Publishing,Investigations,Investigation,New investigation,button,Create investigation,,
Publishing,Investigations,Investigation,View public directory,link,Open investigation directory,,
Publishing,Investigations,Investigation,Title,text,Set title,Required,
Publishing,Investigations,Investigation,Slug,text,Set slug,Required,
Publishing,Investigations,Investigation,Public visibility,select,Set public status,,
Publishing,Investigations,Investigation,Investigation status,select,Set investigation lifecycle,Separate from publication,
Publishing,Investigations,Investigation,Deck,textarea,Set deck,,
Publishing,Investigations,Investigation,Hero image URL,url,Set hero,,
Publishing,Investigations,Investigation,Hero alt text,textarea,Set alt,,
Publishing,Investigations,Investigation,Explainer,textarea,Set explainer,,
Publishing,Investigations,Investigation,How to use this page,textarea,Set reader instructions,,
Publishing,Investigations,Investigation,One-minute summary,textarea,Set summary,,
Publishing,Investigations,Investigation,Main question,textarea,Set question,,
Publishing,Investigations,Investigation,Why it matters / stakes,textarea,Set stakes,,
Publishing,Investigations,Investigation,Decision tree / reporting map,textarea,Set reporting map,,
Publishing,Investigations,Investigation,Add source,button,Add source/evidence row,,
Publishing,Investigations,Investigation,Evidence state,select,Set evidentiary state,,
Publishing,Investigations,Investigation,Add timeline event,button,Add chronology row,,
Publishing,Investigations,Investigation,Add records request,button,Add public-records row,,
Publishing,Investigations,Investigation,Publish request text,checkbox,Expose request text,Privacy/publicity,
Publishing,Investigations,Investigation,Public request,checkbox,Expose request record,Privacy/publicity,
Publishing,Investigations,Investigation,Save investigation,button,Persist investigation,,
Publishing,Investigations,Investigation,Delete,button,Delete investigation/revisions,Destructive,
Publishing,Courses,Course admin,Add Course,button,Create course,,
Publishing,Courses,Course admin,Course row,button,Open course editor,,
Publishing,Courses,Course admin,Title,text,Set title,,
Publishing,Courses,Course admin,Slug,text,Set slug,,
Publishing,Courses,Course admin,Summary,textarea,Set summary,,
Publishing,Courses,Course admin,Description,textarea,Set description,,
Publishing,Courses,Course admin,Status,select,draft/review/published/archived,,
Publishing,Courses,Course admin,Authors,textarea,Set authors one per line,,
Publishing,Courses,Course admin,Contributors,textarea,Set contributors,,
Publishing,Courses,Course admin,Reviewers,textarea,Set reviewers,,
Publishing,Courses,Course admin,Review notes,textarea,Set editor-only notes,Private/editorial,
Publishing,Courses,Course admin,Add section,button,Add section,,
Publishing,Courses,Course admin,Remove section,button,Remove section,,
Publishing,Courses,Course admin,Section title,text,Set section title,,
Publishing,Courses,Course admin,Section summary,textarea,Set section summary,,
Publishing,Courses,Course admin,Section order,number,Set ordering,,
Publishing,Courses,Course admin,Add lesson,button,Add lesson,,
Publishing,Courses,Course admin,Remove lesson,button,Remove lesson,,
Publishing,Courses,Course admin,Lesson ID,text,Set stable ID,Progress compatibility,
Publishing,Courses,Course admin,Lesson title,text,Set title,,
Publishing,Courses,Course admin,Lesson HTML,textarea,Set body HTML,Sanitized for reader,
Publishing,Courses,Course admin,Estimated minutes,number,Set estimate,,
Publishing,Courses,Course admin,Difficulty,select,Set difficulty,,
Publishing,Courses,Course admin,Add activity,button,Add activity,,
Publishing,Courses,Course admin,Remove activity,button,Remove activity,,
Publishing,Courses,Course admin,Required activity,checkbox,Require completion,Can block lesson completion,
Publishing,Courses,Course admin,Add resource,button,Add resource,,
Publishing,Courses,Course admin,Remove resource,button,Remove resource,,
Publishing,Courses,Course admin,Save,button,Persist course,,
Publishing,Courses,Course admin,Delete course,button,Delete course,,
Media & Labs,PrintLab,PrintLab,Asset Browser,source tab,Search/select assets,Rights vary,
Media & Labs,PrintLab,PrintLab,Upload Image,source tab,Use local image,,
Media & Labs,PrintLab,PrintLab,URL Import,source tab,Use direct image/SVG URL,Verify rights,
Media & Labs,PrintLab,PrintLab,CMS Post,source tab,Use post content,,
Media & Labs,PrintLab,PrintLab,Tile Sheet,tool,Tile output,,
Media & Labs,PrintLab,PrintLab,Poster Split,tool,Split poster,,
Media & Labs,PrintLab,PrintLab,Page Layout,tool,Build page layout,,
Media & Labs,PrintLab,PrintLab,Half-Fold Zine,tool,Build zine,,
